Test_Subject,Best_nu,Rate_p1%,Rate_p2%,Rate_p3%,inner_mean_p2_nu0.01,inner_mean_p2_nu0.05,inner_mean_p2_nu0.1,inner_mean_p2_nu0.15,inner_mean_p2_nu0.2,inner_mean_p2_nu0.3,inner_mean_p2_nu0.5
1,0.01,25.0,25.0,25.0,53.5,53.5,53.5,53.0,50.0,44.5,35.0
2,0.01,25.0,100.0,25.0,51.0,51.0,51.0,51.0,47.5,42.0,32.5
3,0.01,75.0,100.0,0.0,50.0,50.0,50.0,49.5,45.5,40.5,33.0
4,0.01,0.0,100.0,25.0,49.5,49.5,49.5,49.0,48.0,42.0,32.5
5,0.01,25.0,50.0,25.0,51.0,51.5,52.0,50.5,49.0,43.5,35.0
6,0.01,25.0,25.0,25.0,52.5,53.5,53.5,53.0,50.5,44.5,36.0
7,0.01,25.0,100.0,25.0,49.0,48.5,48.5,49.0,45.5,40.0,32.5
8,0.01,0.0,75.0,50.0,49.5,49.0,49.0,49.5,48.5,41.5,34.0
9,0.01,50.0,25.0,50.0,52.0,52.5,52.5,52.0,49.5,46.0,34.0
10,0.01,25.0,75.0,0.0,51.0,51.0,51.0,50.5,50.0,44.0,33.5
11,0.01,25.0,100.0,0.0,50.5,50.5,50.5,50.0,47.0,42.5,33.5
12,0.01,0.0,50.0,25.0,51.5,51.5,51.5,51.5,48.0,42.5,34.5
13,0.01,25.0,75.0,0.0,51.0,51.0,51.0,51.0,48.0,42.5,33.5
14,0.01,25.0,25.0,0.0,51.5,51.5,51.5,51.5,50.0,44.5,34.5
15,0.01,25.0,75.0,0.0,49.5,49.0,49.0,48.5,47.0,42.0,32.0
16,0.01,25.0,100.0,25.0,49.5,49.5,49.5,50.0,47.0,44.5,34.0
17,0.01,25.0,100.0,25.0,49.5,49.5,49.5,48.5,47.0,42.5,32.5
18,0.01,75.0,75.0,0.0,49.5,49.5,49.5,50.0,48.5,44.5,34.0
19,0.01,25.0,100.0,25.0,47.0,48.0,48.0,47.0,46.0,41.0,32.5
20,0.01,50.0,75.0,0.0,51.0,51.0,51.0,50.5,49.0,41.5,33.0
21,0.01,50.0,50.0,0.0,52.5,52.5,52.5,52.5,50.0,44.0,35.0
22,0.01,0.0,75.0,50.0,51.0,51.0,51.0,51.0,48.5,44.5,35.0
23,0.01,0.0,100.0,25.0,49.0,49.0,49.0,49.0,46.5,41.0,33.5
24,0.01,25.0,100.0,25.0,47.5,47.5,47.5,48.5,47.5,42.0,33.0
25,0.01,25.0,75.0,25.0,51.0,51.0,51.0,51.0,48.5,45.0,33.5
26,0.01,25.0,75.0,0.0,50.5,50.5,50.5,49.5,46.5,44.0,34.0
